State,County,inc2013,inc2014,inc2015,stateRank,pctChg2014,pctChg2015,stateRankChg
CA,Napa,54270.00,57528.00,61483.00,8,6,6.9,6
CA,Nevada,49754.00,52450.00,55325.00,13,5.4,5.5,30
CA,Orange,53321.00,55470.00,57749.00,10,4,4.1,51
CA,Placer,52739.00,55079.00,57696.00,11,4.4,4.8,44
CA,Plumas,43192.00,46156.00,47615.00,23,6.9,3.2,53
CA,Riverside,32765.00,33867.00,35589.00,52,3.4,5.1,36
CA,Sacramento,42162.00,44139.00,46539.00,25,4.7,5.4,31
CA,San Benito,39526.00,40543.00,43643.00,30,2.6,7.6,1
CA,San Bernardino,31916.00,33562.00,35431.00,53,5.2,5.6,27
CA,San Diego,48938.00,51174.00,53298.00,18,4.6,4.2,50
CA,San Francisco,88825.00,97498.00,103529.00,2,9.8,6.2,19
CA,San Joaquin,35026.00,36483.00,38769.00,42,4.2,6.3,18
CA,San Luis Obispo,45527.00,47336.00,49873.00,20,4,5.4,32
CA,San Mateo,86911.00,91935.00,97553.00,3,5.8,6.1,20
CA,Santa Barbara,49864.00,51835.00,54428.00,14,4,5,38
CA,Santa Clara,72246.00,77663.00,82756.00,4,7.5,6.6,11
CA,Santa Cruz,52908.00,54585.00,57257.00,12,3.2,4.9,41
CA,Shasta,36257.00,38410.00,40882.00,36,5.9,6.4,13
CA,Sierra,32622.00,37150.00,38722.00,43,13.9,4.2,48
CA,Siskiyou,34969.00,36870.00,39381.00,40,5.4,6.8,8
CA,Solano,40285.00,41602.00,44504.00,28,3.3,7,5
CA,Sonoma,47859.00,50181.00,53520.00,17,4.9,6.7,10
CA,Stanislaus,35077.00,37352.00,39445.00,39,6.5,5.6,26
CA,Sutter,37310.00,38187.00,40514.00,37,2.4,6.1,21
CA,Tehama,31697.00,34321.00,35850.00,50,8.3,4.5,47
CA,Trinity,31040.00,33476.00,35627.00,51,7.8,6.4,14
CA,Tulare,33508.00,35887.00,36551.00,48,7.1,1.9,56
CA,Tuolumne,36439.00,38976.00,41770.00,33,7,7.2,3
CA,Ventura,49619.00,51539.00,54155.00,15,3.9,5.1,37
CA,Yolo,44556.00,46641.00,49063.00,22,4.7,5.2,34
CA,Yuba,34137.00,35306.00,37535.00,46,3.4,6.3,16
CO,,46792.00,49768.00,50899.00,,6.4,2.3,
CO,Adams,33850.00,35704.00,36962.00,48,5.5,3.5,33
CO,Alamosa,30934.00,32200.00,34088.00,55,4.1,5.9,12
CO,Arapahoe,48790.00,51743.00,52545.00,14,6.1,1.5,48
CO,Archuleta,34785.00,38183.00,40307.00,37,9.8,5.6,15
CO,Baca,43347.00,38015.00,37619.00,47,-12.3,-1,57
CO,Bent,27969.00,29278.00,29908.00,63,4.7,2.2,41
CO,Boulder,55705.00,58917.00,60220.00,8,5.8,2.2,40
CO,Broomfield,74119.00,73686.00,73107.00,3,-0.6,-0.8,56
CO,Chaffee,34125.00,36887.00,38330.00,46,8.1,3.9,27
CO,Cheyenne,54918.00,49201.00,53361.00,12,-10.4,8.5,5
CO,Clear Creek,47974.00,49805.00,51710.00,15,3.8,3.8,28
CO,Conejos,28008.00,29029.00,30716.00,62,3.6,5.8,13
CO,Costilla,28596.00,29197.00,31030.00,60,2.1,6.3,9
CO,Crowley,22531.00,23126.00,26039.00,64,2.6,12.6,1
CO,Custer,39097.00,41356.00,43887.00,25,5.8,6.1,11
CO,Delta,30264.00,31069.00,31685.00,59,2.7,2,44
CO,Denver,62320.00,68304.00,68299.00,4,9.6,0,55
CO,Dolores,29571.00,41628.00,42715.00,30,40.8,2.6,37
CO,Douglas,61369.00,64613.00,65999.00,5,5.3,2.1,42
CO,Eagle,53623.00,58503.00,61522.00,7,9.1,5.2,17
CO,Elbert,46042.00,47964.00,49450.00,19,4.2,3.1,35
CO,El Paso,40642.00,42360.00,43385.00,28,4.2,2.4,38
CO,Fremont,28234.00,29658.00,30921.00,61,5,4.3,21
CO,Garfield,44579.00,49114.00,50556.00,18,10.2,2.9,36
CO,Gilpin,38448.00,39129.00,40702.00,36,1.8,4,24
CO,Grand,36694.00,39099.00,40963.00,34,6.6,4.8,19
CO,Gunnison,38493.00,40911.00,42452.00,32,6.3,3.8,29
CO,Hinsdale,39163.00,42219.00,44647.00,24,7.8,5.8,14
CO,Huerfano,33129.00,34996.00,36232.00,50,5.6,3.5,32
CO,Jackson,36058.00,39626.00,43880.00,26,9.9,10.7,2
CO,Jefferson,50035.00,52687.00,54773.00,10,5.3,4,26
CO,Kiowa,57459.00,49703.00,47936.00,21,-13.5,-3.6,61
CO,Kit Carson,35147.00,36890.00,35894.00,51,5,-2.7,60
CO,Lake,29991.00,31028.00,32175.00,58,3.5,3.7,31
CO,La Plata,50425.00,53821.00,51475.00,16,6.7,-4.4,62
CO,Larimer,42239.00,44335.00,45318.00,22,5,2.2,39
CO,Las Animas,34396.00,36541.00,36692.00,49,6.2,0.4,54
CO,Lincoln,29954.00,34550.00,33968.00,56,15.3,-1.7,58
CO,Logan,43578.00,45882.00,48755.00,20,5.3,6.3,10
CO,Mesa,36470.00,38424.00,38863.00,43,5.4,1.1,49
CO,Mineral,49430.00,54009.00,55167.00,9,9.3,2.1,43
CO,Moffat,37626.00,38628.00,38875.00,42,2.7,0.6,52
CO,Montezuma,35204.00,37798.00,38393.00,45,7.4,1.6,46
CO,Montrose,31838.00,33317.00,34559.00,54,4.6,3.7,30
CO,Morgan,36116.00,39571.00,40020.00,38,9.6,1.1,50
CO,Otero,32269.00,33091.00,34590.00,53,2.5,4.5,20
CO,Ouray,46511.00,49493.00,52906.00,13,6.4,6.9,8
CO,Park,36264.00,37397.00,38916.00,41,3.1,4.1,23
CO,Phillips,43212.00,42045.00,40924.00,35,-2.7,-2.7,59
CO,Pitkin,103091.00,123818.00,126137.00,1,20.1,1.9,45
CO,Prowers,36361.00,36107.00,38998.00,40,-0.7,8,7
CO,Pueblo,31802.00,33656.00,34831.00,52,5.8,3.5,34
CO,Rio Blanco,39186.00,41085.00,41723.00,33,4.8,1.6,47
CO,Rio Grande,34833.00,36162.00,39633.00,39,3.8,9.6,3
CO,Routt,60244.00,65216.00,65734.00,6,8.3,0.8,51
CO,Saguache,29004.00,30838.00,33601.00,57,6.3,9,4
CO,San Juan,45745.00,43199.00,43409.00,27,-5.6,0.5,53
CO,San Miguel,57394.00,68042.00,73572.00,2,18.6,8.1,6
CO,Sedgwick,45102.00,47108.00,42608.00,31,4.4,-9.6,63
CO,Summit,49287.00,52393.00,54615.00,11,6.3,4.2,22
CO,Teller,41745.00,42924.00,45219.00,23,2.8,5.3,16
CO,Washington,39176.00,43481.00,38770.00,44,11,-10.8,64
CO,Weld,37615.00,40830.00,42787.00,29,8.5,4.8,18
CO,Yuma,49531.00,49425.00,51405.00,17,-0.2,4,25
CT,,64110.00,66716.00,68704.00,,4.1,3,
CT,Fairfield,99274.00,104490.00,106382.00,1,5.3,1.8,8
CT,Hartford,55324.00,57187.00,59240.00,3,3.4,3.6,5
CT,Litchfield,55056.00,56358.00,58665.00,4,2.4,4.1,2
CT,Middlesex,58029.00,60346.00,62394.00,2,4,3.4,6
CT,New Haven,48701.00,50011.00,51835.00,7,2.7,3.6,4
CT,New London,49234.00,50561.00,52498.00,5,2.7,3.8,3
CT,Tolland,48617.00,50638.00,52311.00,6,4.2,3.3,7
CT,Windham,40135.00,41166.00,43167.00,8,2.6,4.9,1
DE,,43838.00,45284.00,47633.00,,3.3,5.2,
DE,Kent,35815.00,36845.00,38178.00,3,2.9,3.6,2
DE,New Castle,46912.00,48503.00,51690.00,1,3.4,6.6,1
DE,Sussex,42238.00,43710.00,44767.00,2,3.5,2.4,3
DC,District of Columbia,66502.00,70379.00,73302.00,,5.8,4.2,
FL,,40771.00,42868.00,44429.00,,5.1,3.6,
FL,Alachua,36966.00,38701.00,40199.00,21,4.7,3.9,26
FL,Baker,26465.00,27531.00,28588.00,54,4,3.8,30
FL,Bay,37088.00,38303.00,39717.00,23,3.3,3.7,37
FL,Bradford,26273.00,27143.00,28119.00,56,3.3,3.6,41
FL,Brevard,38035.00,39198.00,40511.00,19,3.1,3.3,47
FL,Broward,40910.00,42922.00,44909.00,12,4.9,4.6,13
FL,Calhoun,22566.00,23440.00,24333.00,63,3.9,3.8,31
FL,Charlotte,34937.00,36520.00,37745.00,30,4.5,3.4,46
FL,Citrus,33330.00,34334.00,35323.00,35,3,2.9,52
FL,Clay,36166.00,37752.00,39090.00,26,4.4,3.5,42
FL,Collier,70972.00,77226.00,78473.00,1,8.8,1.6,67
FL,Columbia,29386.00,30747.00,32366.00,41,4.6,5.3,8
FL,DeSoto,21215.00,22411.00,23522.00,64,5.6,5,9
FL,Dixie,23281.00,24737.00,25400.00,61,6.3,2.7,54
FL,Duval,38805.00,39893.00,41339.00,18,2.8,3.6,38
FL,Escambia,35766.00,37070.00,38408.00,28,3.6,3.6,40
FL,Flagler,36803.00,38689.00,40140.00,22,5.1,3.8,34
FL,Franklin,33202.00,33272.00,33973.00,36,0.2,2.1,64
FL,Gadsden,27916.00,29152.00,30334.00,47,4.4,4.1,22
FL,Gilchrist,28221.00,30426.00,31356.00,44,7.8,3.1,51
FL,Glades,20178.00,20837.00,22121.00,66,3.3,6.2,4
FL,Gulf,26935.00,28752.00,30125.00,49,6.7,4.8,10
FL,Hamilton,23085.00,23569.00,24824.00,62,2.1,5.3,6
FL,Hardee,23552.00,24448.00,25591.00,59,3.8,4.7,12
FL,Hendry,28091.00,27962.00,29822.00,51,-0.5,6.7,1
FL,Hernando,31263.00,32441.00,33666.00,39,3.8,3.8,32
FL,Highlands,29799.00,30805.00,31949.00,42,3.4,3.7,36
FL,Hillsborough,40290.00,41639.00,43435.00,14,3.3,4.3,17
FL,Holmes,25036.00,25586.00,27220.00,57,2.2,6.4,3
FL,Indian River,61586.00,66206.00,67978.00,5,7.5,2.7,55
FL,Jackson,27851.00,28983.00,30210.00,48,4.1,4.2,19
FL,Jefferson,33105.00,35429.00,36596.00,32,7,3.3,48
FL,Lafayette,20264.00,22513.00,23012.00,65,11.1,2.2,63
FL,Lake,34711.00,36327.00,37698.00,31,4.7,3.8,33
FL,Lee,41159.00,43749.00,44583.00,13,6.3,1.9,66
FL,Leon,36750.00,38493.00,39670.00,24,4.7,3.1,50
FL,Levy,29615.00,31195.00,32457.00,40,5.3,4,23
FL,Liberty,24621.00,24839.00,25492.00,60,0.9,2.6,56
FL,Madison,26658.00,28420.00,29757.00,52,6.6,4.7,11
FL,Manatee,38992.00,41437.00,43121.00,16,6.3,4.1,21
FL,Marion,31453.00,32701.00,33800.00,37,4,3.4,45
FL,Martin,63062.00,69395.00,71197.00,3,10,2.6,59
FL,Miami-Dade,39104.00,41587.00,43278.00,15,6.3,4.1,20
FL,Monroe,67081.00,71976.00,74409.00,2,7.3,3.4,44
FL,Nassau,45816.00,48404.00,49675.00,9,5.6,2.6,57
FL,Okaloosa,42778.00,44140.00,45222.00,11,3.2,2.5,60
FL,Okeechobee,26319.00,28449.00,29695.00,53,8.1,4.4,16
FL,Orange,36127.00,37969.00,39591.00,25,5.1,4.3,18
FL,Osceola,27733.00,28412.00,29911.00,50,2.4,5.3,7
FL,Palm Beach,62290.00,66578.00,68743.00,4,6.9,3.3,49
FL,Pasco,33701.00,34847.00,36187.00,33,3.4,3.8,29
FL,Pinellas,43486.00,45941.00,47731.00,10,5.6,3.9,25
FL,Polk,32030.00,32959.00,33723.00,38,2.9,2.3,61
FL,Putnam,26411.00,27439.00,28501.00,55,3.9,3.9,27
FL,St. Johns,58019.00,59102.00,60441.00,6,1.9,2.3,62
FL,St. Lucie,33240.00,34303.00,35625.00,34,3.2,3.9,28
FL,Santa Rosa,37608.00,38797.00,40240.00,20,3.2,3.7,35
FL,Sarasota,51179.00,54984.00,56426.00,7,7.4,2.6,58
FL,Seminole,39427.00,41037.00,42851.00,17,4.1,4.4,15
FL,Sumter,36973.00,37953.00,39012.00,27,2.7,2.8,53
FL,Suwannee,27579.00,28568.00,30449.00,45,3.6,6.6,2
